County,median_income,white_pop,black_pop,asian_pop,hispanic_pop,tract,total_pop,white_percent,black_percent,asian_percent,hispanic_percent,county_tract,tract_y,nearest_store,distance_to_nearest_store,nearest_store_name
ALBANY,44871.0,530.0,1086.0,87.0,311.0,100,2014.0,26.31578947368421,53.922542204568025,4.319761668321748,15.44190665342602,ALBANY_100,100,10543,616.9504353174672,AMROS DELI LLC
ALBANY,42456.0,521.0,1945.0,109.0,165.0,201,2740.0,19.014598540145982,70.98540145985402,3.9781021897810223,6.021897810218978,ALBANY_201,201,12838,114.00017550296668,ALAWDI ADEL ALI
ALBANY,24792.0,124.0,2316.0,0.0,71.0,202,2511.0,4.938271604938271,92.23416965352448,0.0,2.8275587415372363,ALBANY_202,202,2351,719.604019993578,HOT BITES GROCERY & GOURMET INC
ALBANY,40666.0,1155.0,1251.0,221.0,836.0,301,3463.0,33.35258446433728,36.12474732890557,6.381749927808259,24.140918278948888,ALBANY_301,301,10844,121.06438321278524,PRINCE CORNER DELI&GROCERY INC THE
ALBANY,42370.0,2180.0,457.0,387.0,155.0,302,3179.0,68.57502359232464,14.37558980811576,12.173639509279647,4.875747090279963,ALBANY_302,302,1594,349.63117759060447,7-ELEVEN INC
ALBANY,75994.0,2122.0,201.0,17.0,82.0,401,2422.0,87.61354252683734,8.298926507018994,0.7018992568125516,3.3856317093311312,ALBANY_401,401,3537,1502.6328130456698,STEWARTS SHOPS CORP
ALBANY,77835.0,2926.0,651.0,459.0,218.0,403,4254.0,68.7823225199812,15.30324400564175,10.78984485190409,5.124588622472967,ALBANY_403,403,20606,246.4226121821138,SANTIAGO NELSON
ALBANY,25104.0,1193.0,1527.0,181.0,491.0,501,3392.0,35.17099056603774,45.01768867924528,5.336084905660377,14.475235849056602,ALBANY_501,501,7851,228.20613712471555,STEWARTS SHOPS CORP
ALBANY,61354.0,2289.0,759.0,404.0,443.0,502,3895.0,58.767650834403085,19.486521181001283,10.372272143774069,11.373555840821563,ALBANY_502,502,8578,305.91867311220926,GLOBAL MONTELLO GROUP CORP
ALBANY,21828.0,1206.0,1081.0,986.0,407.0,600,3680.0,32.77173913043478,29.375,26.793478260869563,11.059782608695652,ALBANY_600,600,4623,86.81176959706565,HALAL TOWN INC
ALBANY,40584.0,529.0,2386.0,33.0,260.0,700,3208.0,16.49002493765586,74.37655860349128,1.0286783042394014,8.104738154613466,ALBANY_700,700,23227,439.650427061935,HADI OF ALBANY CORP
ALBANY,23837.0,222.0,1402.0,27.0,201.0,800,1852.0,11.987041036717065,75.70194384449243,1.4578833693304536,10.853131749460044,ALBANY_800,800,10340,90.01448922165153,EGGELHOEFER EDGAR&GLEN
ALBANY,45714.0,1121.0,624.0,126.0,135.0,1100,2006.0,55.88235294117647,31.10667996011964,6.281156530408774,6.729810568295116,ALBANY_1100,1100,15864,207.90993580435315,HASTINGS JOHN
ALBANY,58274.0,3257.0,435.0,300.0,325.0,1400,4317.0,75.4459115126245,10.076441973592772,6.949270326615705,7.528376187167014,ALBANY_1400,1400,6638,327.61479855381447,MEMON SAJID G
ALBANY,27327.0,2781.0,965.0,448.0,185.0,1500,4379.0,63.50765014843572,22.03699474765928,10.230646266270838,4.224708837634164,ALBANY_1500,1500,14130,267.8459100270975,323 MAPLE LEAF INC
ALBANY,54944.0,2839.0,606.0,388.0,304.0,1600,4137.0,68.6246072032874,14.648295866569978,9.378776891467249,7.348320038675368,ALBANY_1600,1600,14130,507.4406862041518,323 MAPLE LEAF INC
ALBANY,80000.0,2997.0,763.0,339.0,136.0,1700,4235.0,70.76741440377803,18.016528925619838,8.004722550177096,3.2113341204250294,ALBANY_1700,1700,9851,544.967804809944,CVS ALBANY LLC
ALBANY,70041.0,3729.0,297.0,75.0,129.0,1802,4230.0,88.15602836879432,7.021276595744681,1.773049645390071,3.0496453900709217,ALBANY_1802,1802,8237,648.8490978309975,STEWARTS SHOPS CORP
ALBANY,96577.0,3337.0,40.0,118.0,68.0,1803,3563.0,93.6570305921976,1.122649452708392,3.311815885489756,1.908504069604266,ALBANY_1803,1803,19066,585.2807630677968,MUMTAZ & SONS INC
ALBANY,93958.0,2484.0,469.0,304.0,260.0,1804,3517.0,70.62837645720784,13.335228888257037,8.64373045208985,7.392664202445267,ALBANY_1804,1804,478,947.2280584434382,STEWARTS SHOPS CORP
ALBANY,75083.0,2012.0,269.0,190.0,68.0,1901,2539.0,79.24379677038203,10.594722331626624,7.483261126427728,2.678219771563608,ALBANY_1901,1901,8509,441.2010347277378,STEWARTS SHOPS CORP
ALBANY,93875.0,1705.0,230.0,174.0,99.0,1902,2208.0,77.21920289855072,10.416666666666668,7.880434782608696,4.483695652173913,ALBANY_1902,1902,12630,982.7118398494326,SBINTZ SPENWOOD LLC
ALBANY,52263.0,3525.0,1169.0,566.0,1374.0,2000,6634.0,53.13536328007236,17.62134458848357,8.531805848658426,20.71148628278565,ALBANY_2000,2000,4148,263.43256282205016,SAID SADDAM
ALBANY,42070.0,1628.0,491.0,626.0,320.0,2100,3065.0,53.11582381729201,16.01957585644372,20.424143556280587,10.440456769983689,ALBANY_2100,2100,6644,431.7366024658951,WALGREEN EASTERN CO INC
ALBANY,39343.0,1658.0,390.0,251.0,118.0,2200,2417.0,68.59743483657427,16.135705419942077,10.384774513860156,4.8820852296235,ALBANY_2200,2200,23508,160.00711650538034,PRICE CHOPPER OPERATING CO INC
ALBANY,47076.0,733.0,922.0,92.0,149.0,2300,1896.0,38.66033755274262,48.628691983122366,4.852320675105485,7.858649789029536,ALBANY_2300,2300,23228,291.83693584731816,LA GRANDE MEAT MKT & PRODUCTS CORP
ALBANY,32532.0,528.0,2116.0,108.0,594.0,2500,3346.0,15.780035863717872,63.23968918111178,3.2277346084877463,17.752540346682604,ALBANY_2500,2500,21975,185.90711220686364,SOUTH PEARL DELI & GROCERY INC
ALBANY,59325.0,1322.0,1475.0,189.0,949.0,2600,3935.0,33.595933926302415,37.484116899618805,4.80304955527319,24.11689961880559,ALBANY_2600,2600,11999,535.46853316651,SHORTY DELI INC
ALBANY,66292.0,2862.0,226.0,43.0,48.0,12700,3179.0,90.02831078955647,7.10915382195659,1.352626612142183,1.5099087763447625,ALBANY_12700,12700,21172,319.1808624074697,CUMBERLAND FARMS INC
ALBANY,37108.0,2418.0,453.0,175.0,344.0,12800,3390.0,71.32743362831859,13.36283185840708,5.162241887905605,10.14749262536873,ALBANY_12800,12800,16336,161.36144662359408,PRICE CHOPPER OPERATING CO INC
ALBANY,55167.0,2752.0,428.0,49.0,372.0,12900,3601.0,76.42321577339628,11.885587336850875,1.3607331296861984,10.330463760066648,ALBANY_12900,12900,5985,597.7165091428883,LEPAGES DISTRIBUTING INC
ALBANY,74609.0,6818.0,215.0,15.0,231.0,13000,7279.0,93.66671246050282,2.953702431652699,0.2060722626734441,3.17351284517104,ALBANY_13000,13000,18089,415.9485102506064,VLIET MART CORP
ALBANY,57750.0,2245.0,208.0,0.0,314.0,13100,2767.0,81.13480303577883,7.517166606432959,0.0,11.348030357788218,ALBANY_13100,13100,21280,155.73873065207167,SHREEJA 1 INC
ALBANY,33947.0,2425.0,462.0,131.0,347.0,13200,3365.0,72.06537890044576,13.7295690936107,3.893016344725112,10.312035661218424,ALBANY_13200,13200,5793,98.64818444848352,DOLLAR TREE STORES INC
