name,longitude,latitude,geometry,nearest_tract_index,nearest_tract,distance_to_nearest_tract
ANK PETRO INC,-73.816249346,42.46925125,POINT (-73.816249346 42.46925125),4021,014402,812.6237198950804
EVANS JULIA,-73.949128787,42.577416307,POINT (-73.949128787 42.577416307),3604,014502,1193.8663073134057
HUBRIX LLC,-77.795356304,42.158830586,POINT (-77.795356304 42.15883058599999),277,950900,2149.9605423000585
REID STORES INC,-78.277036649,42.220633641,POINT (-78.277036649 42.22063364099999),278,940200,2494.925987004158
361 DELI GROCERY LLC,-73.877219853,40.871759695,POINT (-73.877219853 40.871759695),735,042500,176.37359545713608
AMAA GOURMET DELI CORP,-73.875481195,40.826581028,POINT (-73.875481195 40.82658102800001),1192,004800,110.41970985492726
LA LUPITA CORP,-73.864766105,40.851961305,POINT (-73.864766105 40.85196130500001),5218,022404,155.88407709605815
JULIES CAKERY INC,-75.639964768,42.076284863,POINT (-75.639964768 42.076284863),81,012501,2824.007032763278
VERMA CORP,-73.60016409,42.356255433,POINT (-73.60016409 42.35625543300001),4936,000700,6456.798928041235
DOLGEN NEW YORK LLC,-74.50411597,42.368090177,POINT (-74.50411597 42.36809017699999),3817,971100,8665.891339468804
SINGH AVTAR,-73.836155987,41.734750975,POINT (-73.836155987 41.734750975000004),3460,140202,3539.144563352091
DOLGEN NEW YORK LLC,-78.781737862,42.839567705,POINT (-78.781737862 42.83956770500001),596,011700,780.6747462252615
ECKERD CORP,-78.794266963,42.919292973,POINT (-78.794266963 42.91929297299999),293,010500,586.6093701459546
FEDERAL MARKET CO INC,-78.632553312,42.765050783,POINT (-78.632553312 42.76505078299999),1426,013900,1372.3622230971248
TOPS MARKETS LLC,-78.631793409,42.767328021,POINT (-78.631793409 42.76732802099999),1426,013900,1406.0748308587551
ALDI INC,-74.31853594,44.846282287,POINT (-74.31853594 44.846282287),1343,950501,1585.5604672285297
ALDI INC,-74.360398852,43.017913146,POINT (-74.360398852 43.017913146),697,971200,292.02845995849503
ALDI INC,-75.837231046,44.046248985,POINT (-75.837231046 44.04624898499999),3808,060602,2480.461062412691
26 SINGH INC,-73.930655456,40.653655669,POINT (-73.930655456 40.653655669),4728,086800,106.89355717461066
BDD NY CORP,-73.995338554,40.607630713,POINT (-73.995338554 40.607630713),4563,027200,228.17865429865475
GOOD LUCK PHARMACY INC,-73.902121565,40.665768599,POINT (-73.902121565 40.665768599),5128,091000,108.64106533556638
HADAR GEULAH INC,-73.987099814,40.622399124,POINT (-73.987099814 40.622399124),4504,024400,102.79925742739849
INLET MARKET CORP,-73.941785485,40.686375383,POINT (-73.941785485 40.686375383),4765,026500,246.68302507997336
KAPLEN MEDDEL,-73.992675708,40.603858521,POINT (-73.992675708 40.603858521),4575,029000,160.58779497998577
EZ SUPEMART INC,-77.591239977,43.144752548,POINT (-77.591239977 43.144752547999985),5119,003000,269.52009211553946
MO PASTA LLC,-77.429975847,43.212103612,POINT (-77.42997584700001 43.212103612),1600,011403,549.7516913087899
KUDU INC,-73.59353719,40.652394519,POINT (-73.59353719 40.65239451899999),5340,414301,242.56372276415027
MC DELI CORP,-73.690702055,40.704761632,POINT (-73.690702055 40.70476163199999),881,405200,476.5035414669572
OH NUTS INC,-73.724812043,40.621236218,POINT (-73.724812043 40.621236217999986),1139,411200,508.9569430426991
ZACK86 CORP,-73.586832841,40.666651884,POINT (-73.586832841 40.666651884),948,414100,404.13469793420086
207 INC I,-73.921381335,40.86747692,POINT (-73.921381335 40.86747692),3435,029300,202.37050980102075
ABC MART NC,-73.951489634,40.825469462,POINT (-73.951489634 40.82546946200001),150,022900,316.264239791223
HL DELI CORP,-73.952696209,40.768008917,POINT (-73.95269620900001 40.768008917),2705,012400,191.85835066701233
ITO INC,-73.985750747,40.743633923,POINT (-73.985750747 40.743633923),2650,005600,242.60421095707846
PS MEAT CORP,-73.954287094,40.803794447,POINT (-73.954287094 40.803794446999994),143,021800,161.7252088635397
SUN TUNG-FAT MEATS INC,-73.997099928,40.713041779,POINT (-73.997099928 40.713041779000015),2621,002700,170.4758717358459
LEE SANDRA,-75.333440749,43.499903215,POINT (-75.333440749 43.499903214999996),4826,024200,4990.042200735523
MUJUGO LLC,-75.267726367,43.10916875,POINT (-75.267726367 43.109168749999995),656,021402,587.3289863935465
LE HIEU N,-76.148625424,43.060923877,POINT (-76.148625424 43.060923877),5386,001400,326.2576645519691
MAHMOOD HAMZA,-76.104770552,43.041954205,POINT (-76.104770552 43.04195420499999),858,004600,605.3060216449276
SMOKEWIND INC,-76.119145935,43.037023257,POINT (-76.119145935 43.03702325699999),18,004401,417.93472434690636
DOLGEN NEW YORK LLC,-74.038098498,41.434534547,POINT (-74.03809849800001 41.434534547),723,013000,1143.949174234108
ONECO INC,-76.387189979,43.334155522,POINT (-76.387189979 43.334155521999996),5370,021002,1798.4450108194796
ALDI INC,-75.052143743,42.447981617,POINT (-75.052143743 42.447981617),1536,590900,1092.9310490765083
ALIKAJ LLC,-73.737994262,41.36977722,POINT (-73.737994262 41.36977722),1277,011300,1221.682493943046
LUS LICENSING LLC,-73.901714875,40.778964232,POINT (-73.901714875 40.778964232),2200,012301,416.7204861510193
NEW BAGELMANIA INC,-73.905193952,40.757106031,POINT (-73.905193952 40.75710603099999),2035,029500,178.77181609988995
SEAGIRT MARKET & DELI CORP,-73.759056979,40.59509411,POINT (-73.759056979 40.59509410999999),1490,099801,354.0548496842503
DOLGEN NEW YORK LLC,-77.419807342,42.401003103,POINT (-77.419807342 42.401003103),3680,961000,7155.161485917619
LAIN HARRY E,-77.615263349,42.302508029,POINT (-77.615263349 42.302508029),3679,960900,3684.551407013246
DURAN VICTORIA,-73.324837682,40.694402773,POINT (-73.324837682 40.694402773),1755,124602,444.93693047240976
WYANDANCH DELI & GRILL,-73.367391452,40.740868081,POINT (-73.367391452 40.740868080999995),1604,122406,1020.9076635914738
BIG LOTS STORES-PNS LLC,-73.991023299,41.971255803,POINT (-73.991023299 41.97125580299999),1244,951400,1369.7775384491042
PERFUMA LLC,-73.6989962,43.36837263,POINT (-73.69899620000001 43.36837263),3926,070604,3141.548072286923
KDA INC,-73.852747965,41.323678261,POINT (-73.852747965 41.32367826099999),1897,014813,358.5425054177668
LOTTO PLUS CORP,-73.886240206,40.947034634,POINT (-73.886240206 40.947034634),1893,000601,308.51948021613873
MARIA SAZON DELI CORP,-73.894834255,40.928954827,POINT (-73.894834255 40.928954827000005),794,001200,292.14768010543236
SKAZ CORPORATION,-73.781676131,41.275089919,POINT (-73.781676131 41.275089918999996),4890,014808,1814.9572785764462
V&C DELI INC,-73.895596254,40.915791342,POINT (-73.895596254 40.915791342),1898,001305,36.23577532122319
ALDI INC,-78.992660576,43.10655676,POINT (-78.992660576 43.10655676),2502,020300,1665.7270563551638
PEOPLES DRUG RX INC,-73.879369643,40.875530462,POINT (-73.879369643 40.875530462),733,042300,242.78949014351886
MCKINLEY DELI AND GROCERY CORP,-73.867387964,40.680373689,POINT (-73.867387964 40.68037368899999),3851,118600,125.72573006517588
3 MMM TREE COFFEE DELI CORP,-73.859811646,40.846384112,POINT (-73.859811646 40.846384112),768,024400,194.00741022777808
SOS CHEFS OF NEW YORK INC,-73.981489387,40.724888719,POINT (-73.981489387 40.724888719),3591,003200,202.2483167947383
CARLA MARLAS ICE CREAM INC,-72.939217832,40.756903859,POINT (-72.939217832 40.756903859000005),1709,159300,368.7977114472902
30CKS DELI CORP,-73.897993033,40.933705522,POINT (-73.897993033 40.93370552199999),4447,000300,269.41066854054543
ABU MUSA DELI & GRILL CORP,-73.779305142,40.691497145,POINT (-73.779305142 40.69149714500001),1470,026600,206.39476480745196
SARATOGA GLUTEN FREE GOODS LLC,-73.579930511,43.102434791,POINT (-73.579930511 43.102434791),4787,060902,791.74111112317
RATNAM ENTERPRISE INC,-73.832416988,40.688270699,POINT (-73.832416988 40.688270699),2978,010800,158.35418248688018
77 GOURMET DELI INC,-73.85987736,40.680192262,POINT (-73.85987736 40.680192262),1448,004200,242.04099623181816
CHIARO PETER&WILLIAM&DAVID,-73.857839216,42.728059223,POINT (-73.857839216 42.72805922300001),4016,013901,1925.0583225114249
RD AMERICA LLC,-77.600556965,43.09191479,POINT (-77.600556965 43.09191478999999),3105,013005,1417.6503070915028
107 DELI GROCERY CORP,-73.840277872,40.695521464,POINT (-73.840277872 40.695521464),2202,012602,263.59413123235146
HALA INTERNATIONAL FOOD INC,-73.895704357,40.92262705,POINT (-73.895704357 40.92262705000001),1895,000204,267.51265298552465
MIDI FOODS INC,-73.804284722,40.977062425,POINT (-73.804284722 40.977062425),2925,005001,232.0456471714952
SMITH DARYL,-78.388546472,43.320628513,POINT (-78.388546472 43.320628512999996),1750,401200,3060.9427450257344
STEWARTS SHOPS CORP,-73.459053996,44.047642608,POINT (-73.459053996 44.047642608),4823,961002,2444.847876846453
DOLGEN NEW YORK LLC,-75.709321581,44.146437461,POINT (-75.709321581 44.14643746099999),3812,060601,4352.357429318072
EL REAL FOOD MARKET CORP,-73.914321258,40.698857671,POINT (-73.914321258 40.698857671),4699,043300,201.66340204907883
PRIYA TWO PETROLEUM INC,-74.012106398,42.286430301,POINT (-74.012106398 42.286430301),4668,080502,2918.531040517293
LOS SISO GROCERY CORP,-74.120524122,40.634186594,POINT (-74.120524122 40.63418659400001),3672,013301,207.82084107707453
H&H APPLE FOOD CORP,-74.334983078,42.705654564,POINT (-74.334983078 42.705654564000014),3654,740100,1915.071122593416
IT' SUGAR LLC,-76.173724698,43.067956293,POINT (-76.173724698 43.06795629300001),5387,000100,166.57597375907665
WALGREEN EASTERN CO INC,-73.93018007,40.651873164,POINT (-73.93018007 40.651873163999994),5053,086200,247.25190553390695
MIKAN BEVERAGE INC,-73.49555534,40.81051338,POINT (-73.49555534 40.81051338),977,518700,1196.3927158919018
DORIANS SEAFOOD MARKET INC,-73.948255393,40.774077457,POINT (-73.948255393 40.774077457),2404,013604,24.37371981431907
MHB TRADING INC,-72.963988284,40.945041418,POINT (-72.963988284 40.945041418),1712,158318,1024.1123205017311
LIC BEER PROJECT LLC,-73.939202351,40.754785585,POINT (-73.939202351 40.75478558500001),4056,003302,189.20660750901797
R&M 1 DELI GROCERY CORP,-73.903681354,40.862437217,POINT (-73.90368135400001 40.86243721700001),2567,025300,175.03480673885352
JESSICA DELI GROCERY CORP,-73.941015105,40.684222239,POINT (-73.941015105 40.68422223899999),4565,027500,242.38638317614692
"KPH HEALTHCARE SERVICES, INC.",-76.420690937,42.712090524,POINT (-76.420690937 42.712090524),3599,040900,6493.333077433071
NASSAU GROCERY INC,-74.008798047,40.709261163,POINT (-74.008798047 40.709261163),3698,001300,354.6544957278986
MAKSOUD BROS FOOD CORP,-73.950009222,40.653443262,POINT (-73.950009222 40.653443262),4754,082000,109.96290846547012
MOUNTAIN MART #108 LLC,-74.548844152,44.82132232,POINT (-74.548844152 44.821322319999986),2029,950301,4388.6941746416505
NORTH CREEK ENTERPRISES LLC,-74.379703465,42.38511793,POINT (-74.379703465 42.38511793),481,740800,6686.508181948593
EL TROPICAL DELI GROCERY CORP,-73.835855747,40.838607215,POINT (-73.835855747 40.838607215),2573,026400,474.38868114229166
JP BXWOOD GROCERY CORP,-73.851955623,40.891512656,POINT (-73.851955623 40.891512655999996),738,043000,242.27156298900272
SPIRITS LAB LLC THE,-74.011749567,41.499122182,POINT (-74.011749567 41.499122182),3398,000501,195.02989109284533
MM AHUJA INC,-73.294046541,40.811982127,POINT (-73.294046541 40.811982126999986),3734,112211,1111.616981442799
PRICE CHOPPER OPERATING CO INC,-74.361103517,43.015749679,POINT (-74.361103517 43.015749678999995),697,971200,145.73824158759115
WT HOMEMADE LLC,-74.269229,42.305856,POINT (-74.26922900000001 42.305856000000006),1385,080301,5093.7724855374545
BRONX FAMOUS DELI CORP,-73.902965791,40.822522091,POINT (-73.902965791 40.822522090999996),5289,013300,55.03735797584099
WHITE MOUNTAIN FARM INC,-73.997304111,40.605722238,POINT (-73.997304111 40.605722238),4570,028400,138.75224119194866
PRICE CHOPPER OPERATING CO INC,-76.052376701,42.104509455,POINT (-76.052376701 42.104509455),2140,013500,475.16145955027554
DUANE READE ET AL PTRS,-74.010675593,40.644962746,POINT (-74.010675593 40.644962746),4718,007800,206.04063710016476
CHARLES SCATTURO&SONS INC,-73.859397999,40.692606783,POINT (-73.859397999 40.692606783),2961,001000,206.38400748554568
CST NEW YORK LLC,-76.133246202,43.232713757,POINT (-76.133246202 43.232713757),5399,010200,2618.8281908961376
TASTY BOWL INC,-74.193782124,40.552917295,POINT (-74.193782124 40.552917295),2707,017013,354.5117723315576
PATEL AND PATEL LLC,-76.977287194,42.523613918,POINT (-76.977287194 42.523613918),3757,150101,2857.0627113754636
WILSON 26 DELI GROCERY CORP,-73.930126258,40.703076157,POINT (-73.930126258 40.70307615699999),4659,042500,193.9106071845935
POSNERS FOOD CENTER INC,-73.984566216,40.635595802,POINT (-73.984566216 40.635595802),5001,023200,150.69199300814816
YOUR RED ROSES INC,-73.922477555,40.809566489,POINT (-73.922477555 40.80956648899999),635,003900,90.32582387479171
OSR RETAIL INC,-72.658014033,40.822665547,POINT (-72.658014033 40.82266554699999),1805,190502,2460.230076558396
EL MANANTIAL GROCERY STORE INC,-73.935905245,40.844124016,POINT (-73.935905245 40.844124015999995),3592,026100,221.19875525470883
TORTILLA VILLA INC THE,-74.278920216,41.349619916,POINT (-74.278920216 41.349619915999995),1573,014301,1610.6199987629675
PARKWAY CONVENIENCE INC,-73.857948516,40.906655612,POINT (-73.857948516 40.90665561200001),3358,001502,431.2331076158315
284 KINGS HWY INC,-73.980002438,40.605043806,POINT (-73.980002438 40.60504380599999),4660,042600,71.83021440900244
HEAVENLY MARKET CAFE INC,-73.981117734,40.73729402,POINT (-73.981117734 40.73729402),2656,006400,47.846851106480514
BUTTERFULL LLC,-73.965695535,41.502761562,POINT (-73.965695535 41.50276156200001),1019,210301,921.9600404509112
STRANGE BIRD BEER AND BARREL HOUSE LLC,-77.601934279,43.150595656,POINT (-77.601934279 43.15059565599999),2805,009302,380.4297954059184
WILD HIVE GRAIN PROJECT INC,-73.759137026,41.845890359,POINT (-73.759137026 41.845890359),1094,030000,5146.196800787298
LOVEBITES CHOCOLATE SHOPPE LLC,-74.187518998,41.328481427,POINT (-74.187518998 41.328481427),3396,014101,587.975193588597
SUGAR HILL TRADING POST LLC,-77.027322881,42.323127343,POINT (-77.027322881 42.32312734299999),213,950300,6049.943106414368
ITALCORP INC,-73.850033234,40.826599216,POINT (-73.850033234 40.82659921599999),572,009800,135.07808794964774
MECHYS ON J CORP,-73.961872381,40.625006524,POINT (-73.961872381 40.625006524),4943,053200,191.98684458743344
RALEO VALLEY INC,-73.917672007,41.291596317,POINT (-73.917672007 41.291596317),86,014300,272.3131138489367
MILFORD CORNER STORE INC,-74.945771776,42.590526358,POINT (-74.945771776 42.590526358),1534,590500,5580.223278589067
GREEN FOREST FOOD CORP,-73.927606993,40.83580154,POINT (-73.927606993 40.83580153999999),673,019300,156.85609695943918
MARKET OF ROCKLAND LLC,-73.984493294,41.201177417,POINT (-73.984493294 41.201177417),1565,010601,1008.3703405498468
COOKIE FACTORY THE LLC,-73.678298012,42.721778789,POINT (-73.678298012 42.721778789),3767,040702,390.53343986352996
3083 MAIN ST INC,-78.828519778,42.948490746,POINT (-78.828519778 42.94849074599999),3248,004702,406.794132326039
TEJEDA JUAN,-73.894447598,40.853730347,POINT (-73.894447598 40.853730346999996),2728,038500,316.924328891939
HR C STORE INC,-72.967464427,40.956979846,POINT (-72.967464427 40.956979846),1931,158317,853.724206959842
STEWARTS SHOPS CORP,-73.651773647,42.939273293,POINT (-73.651773647 42.939273293),3349,062100,1061.224306360053
OCEANA DELI AND GRILL INC,-73.956946756,40.578211071,POINT (-73.956946756 40.578211071),1393,061004,209.97498799401464
SPEEDWAY LLC,-76.110856736,43.027592401,POINT (-76.110856736 43.027592401),1168,005601,916.7546190579682
SAM DELI & CONVENIENCE STORE INC,-74.031837133,40.621988578,POINT (-74.031837133 40.621988578),3272,006000,22.323752846342238
ADEN GROCERY INC,-73.918483693,40.814935415,POINT (-73.918483693 40.814935415),636,004300,190.1597782565501
EL QUETZALITO 7 CORP,-74.003843839,40.644642222,POINT (-74.003843839 40.64464222200001),2487,009401,134.2486168689714
D ZONE GROCERY & DELI CORP,-73.899433178,40.927885618,POINT (-73.899433178 40.92788561799999),4442,000101,200.78732658421563
143 ST DELI & DICOUNT CORP,-73.812684898,40.70507126,POINT (-73.812684898 40.70507125999999),2291,021400,239.77081782128417
SALAT MEAT & GROCERY CORP,-73.876069688,40.713178404,POINT (-73.876069688 40.713178404),1207,065703,225.0518067508282
49 ROSE GROCERY INC,-73.855513909,40.744764768,POINT (-73.855513909 40.744764768),2053,042700,184.90769242027787
BROTHERHOOD AMRCS OLDEST WNRY LTD,-74.162981815,41.432418829,POINT (-74.162981815 41.432418829),2883,013202,657.2938226700222
