tract,GEOID,longitude,latitude,geometry,nearest_store_index,nearest_store_name,distance_to_nearest_store
069601,36047069601,-73.91478561149184,40.62722811006485,POINT (-73.91478561149184 40.62722811006485),15784,L & T SUSHI LLC,165.31503467500445
069602,36047069602,-73.90865058188572,40.622729637904136,POINT (-73.90865058188572 40.62272963790414),14369,ALMONTE MILL FOOD CORP,624.0995688263743
079801,36047079801,-73.95871857868624,40.66001088709527,POINT (-73.95871857868624 40.66001088709526),4997,HK FRUIT MARKET INC,144.32398650487687
079802,36047079802,-73.96137113550107,40.65799062507571,POINT (-73.96137113550107 40.65799062507571),13395,HABIB I DELI INC,95.43276953170822
105801,36047105801,-73.88059568214048,40.64922047639497,POINT (-73.88059568214048 40.64922047639498),9051,CVS ALBANY LLC,302.38243706535303
990100,36047990100,-74.00795869542442,40.57400134542718,POINT (-74.00795869542442 40.57400134542718),17421,DOLEH 919 FOOD CORP,645.2234313637363
007200,36119007200,-73.72498897036728,40.9233332944089,POINT (-73.72498897036728 40.92333329440889),13678,WALGREEN EASTERN CO INC,2287.483508429092
007300,36119007300,-73.73999597777116,40.95780271250834,POINT (-73.73999597777116 40.95780271250833),5350,SPEEDWAY LLC,234.28835337788954
007401,36119007401,-73.7293170542443,40.95753884430255,POINT (-73.72931705424432 40.95753884430254),6995,LA MIGUELENA GROCERY CORP,171.1333236967154
007402,36119007402,-73.720690777106,40.94790315964281,POINT (-73.720690777106 40.94790315964281),18939,CVS ALBANY LLC,659.5833212147244
007500,36119007500,-73.7032553865092,40.95501682371611,POINT (-73.7032553865092 40.95501682371611),3049,MANGONE RICHARD E,1124.592406349321
007600,36119007600,-73.66920371226547,40.944867155550725,POINT (-73.66920371226547 40.94486715555072),7031,RYE MART INC,2490.4897016329983
007700,36119007700,-73.68704683071212,40.98354070882511,POINT (-73.68704683071212 40.9835407088251),1627,CHESTNUT MARTS INC,77.3513598408875
007800,36119007800,-73.66592905293497,40.992095226158696,POINT (-73.66592905293497 40.992095226158696),2116,LA NUEVA NANA GROCERY CORP,245.68904732990367
008000,36119008000,-73.6642691488518,41.00218941388179,POINT (-73.6642691488518 41.002189413881794),8515,NI-CO ENTERPRISE INC,58.685380858789635
008100,36119008100,-73.66003477624312,41.01105389188386,POINT (-73.66003477624312 41.011053891883854),8922,EL MERCADO HISPANO CORP,187.34932720688326
015702,36067015702,-75.97997331993444,42.954889492114496,POINT (-75.97997331993444 42.95488949211449),3667,WALGREEN EASTERN CO INC,4433.181693226357
015701,36067015701,-75.9806836867927,42.89141878146905,POINT (-75.9806836867927 42.891418781469035),16090,DOLGEN NEW YORK LLC,2800.084742454208
004401,36067004401,-76.12089731032412,43.03348622758964,POINT (-76.12089731032412 43.033486227589655),8754,MR ORANGE LLC,223.18134977828967
