name,longitude,latitude
ANK PETRO INC,-73.816249346,42.46925125
EVANS JULIA,-73.949128787,42.577416307
HUBRIX LLC,-77.795356304,42.158830586
REID STORES INC,-78.277036649,42.220633641
361 DELI GROCERY LLC,-73.877219853,40.871759695
AMAA GOURMET DELI CORP,-73.875481195,40.826581028
LA LUPITA CORP,-73.864766105,40.851961305
JULIES CAKERY INC,-75.639964768,42.076284863
VERMA CORP,-73.60016409,42.356255433
DOLGEN NEW YORK LLC,-74.50411597,42.368090177
SINGH AVTAR,-73.836155987,41.734750975
DOLGEN NEW YORK LLC,-78.781737862,42.839567705
ECKERD CORP,-78.794266963,42.919292973
FEDERAL MARKET CO INC,-78.632553312,42.765050783
TOPS MARKETS LLC,-78.631793409,42.767328021
ALDI INC,-74.31853594,44.846282287
ALDI INC,-74.360398852,43.017913146
ALDI INC,-75.837231046,44.046248985
26 SINGH INC,-73.930655456,40.653655669
BDD NY CORP,-73.995338554,40.607630713
GOOD LUCK PHARMACY INC,-73.902121565,40.665768599
HADAR GEULAH INC,-73.987099814,40.622399124
INLET MARKET CORP,-73.941785485,40.686375383
KAPLEN MEDDEL,-73.992675708,40.603858521
EZ SUPEMART INC,-77.591239977,43.144752548
MO PASTA LLC,-77.429975847,43.212103612
KUDU INC,-73.59353719,40.652394519
MC DELI CORP,-73.690702055,40.704761632
OH NUTS INC,-73.724812043,40.621236218
ZACK86 CORP,-73.586832841,40.666651884
207 INC I,-73.921381335,40.86747692
ABC MART NC,-73.951489634,40.825469462
HL DELI CORP,-73.952696209,40.768008917
ITO INC,-73.985750747,40.743633923
PS MEAT CORP,-73.954287094,40.803794447
SUN TUNG-FAT MEATS INC,-73.997099928,40.713041779
LEE SANDRA,-75.333440749,43.499903215
MUJUGO LLC,-75.267726367,43.10916875
LE HIEU N,-76.148625424,43.060923877
MAHMOOD HAMZA,-76.104770552,43.041954205
SMOKEWIND INC,-76.119145935,43.037023257
DOLGEN NEW YORK LLC,-74.038098498,41.434534547
ONECO INC,-76.387189979,43.334155522
ALDI INC,-75.052143743,42.447981617
ALIKAJ LLC,-73.737994262,41.36977722
LUS LICENSING LLC,-73.901714875,40.778964232
NEW BAGELMANIA INC,-73.905193952,40.757106031
SEAGIRT MARKET & DELI CORP,-73.759056979,40.59509411
DOLGEN NEW YORK LLC,-77.419807342,42.401003103
LAIN HARRY E,-77.615263349,42.302508029
DURAN VICTORIA,-73.324837682,40.694402773
WYANDANCH DELI & GRILL,-73.367391452,40.740868081
BIG LOTS STORES-PNS LLC,-73.991023299,41.971255803
PERFUMA LLC,-73.6989962,43.36837263
KDA INC,-73.852747965,41.323678261
LOTTO PLUS CORP,-73.886240206,40.947034634
MARIA SAZON DELI CORP,-73.894834255,40.928954827
SKAZ CORPORATION,-73.781676131,41.275089919
V&C DELI INC,-73.895596254,40.915791342
ALDI INC,-78.992660576,43.10655676
PEOPLES DRUG RX INC,-73.879369643,40.875530462
MCKINLEY DELI AND GROCERY CORP,-73.867387964,40.680373689
3 MMM TREE COFFEE DELI CORP,-73.859811646,40.846384112
SOS CHEFS OF NEW YORK INC,-73.981489387,40.724888719
CARLA MARLAS ICE CREAM INC,-72.939217832,40.756903859
30CKS DELI CORP,-73.897993033,40.933705522
